,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
652,0.620444676,0.784613655,0.436800751,0.47009433,,652,0.438368539,0.508185065,0.64092455,0.754294112,,652,0.582987695,0.154510148,0.662689612,0.853448151
653,0.610169963,0.780858782,0.411218085,0.682429771,,653,0.443225395,0.475053518,0.64092455,0.744897325,,653,0.5543472,0.132208468,0.651354578,0.81119013
654,0.605088444,0.724341761,0.377936134,0.567399191,,654,0.446113289,0.445500205,0.64092455,0.732374967,,654,0.5199142,0.114879272,0.638696108,0.762279317
655,0.461818913,0.629988059,0.409118591,0.628506271,,655,0.446777667,0.4194624,0.64092455,0.717310747,,655,0.480774621,0.102074805,0.625225872,0.70777799
656,0.547209696,0.578518171,0.357829538,0.654908262,,656,0.445137488,0.396795492,0.64092455,0.700177578,,656,0.438378655,0.093395505,0.611708048,0.648924142
657,0.34631476,0.51151595,0.41999943,0.624121489,,657,0.44125297,0.377315181,0.64092455,0.681356988,,657,0.3944721,0.088541448,0.599119245,0.587076202
658,0.331348746,0.473869593,0.37561438,0.637835597,,658,0.435295827,0.36082594,0.64092455,0.661158045,,658,0.351018601,0.087362612,0.588574397,0.523650655
659,0.319972265,0.359088417,0.386260422,0.722172696,,659,0.427523858,0.347139479,0.64092455,0.639834375,,659,0.310120912,0.089907329,0.581225874,0.460062933
660,0.306148202,0.348514037,0.423570615,0.699875609,,660,0.41826019,0.336086226,0.64092455,0.61759902,,660,0.273946726,0.096465507,0.578145077,0.397682562
661,0.343455837,0.351028442,0.448003907,0.632984347,,661,0.407876698,0.327522107,0.64092455,0.594637325,,661,0.244658536,0.107599369,0.580195588,0.337810837
662,0.169092516,0.306817965,0.493093944,0.625800767,,662,0.396780754,0.321332248,0.64092455,0.571118165,,662,0.224338385,0.124149701,0.587906024,0.281683318
663,0.100100467,0.311640372,0.453113412,0.73635327,,663,0.385404361,0.317432701,0.64092455,0.547203718,,663,0.214889491,0.14720058,0.6013513,0.230491022
664,0.223640353,0.237818643,0.50339376,0.562641236,,664,0.374194709,0.315770919,0.64092455,0.523057889,,664,0.217892109,0.17798232,0.620055145,0.185405174
