time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
755,152100,,755,22878,,755,2851
756,149800,,756,22940,,756,3636
757,154000,,757,22943,,757,3096
758,151200,,758,22929,,758,3398
759,150100,,759,22995,,759,2793
760,151100,,760,22913,,760,3245
761,150000,,761,22996,,761,2706
762,152050,,762,22963,,762,3530
763,151400,,763,22971,,763,3046
764,153950,,764,22996,,764,3564
765,151550,,765,23048,,765,3285
766,152200,,766,23001,,766,3721
767,150750,,767,23008,,767,3381
768,153600,,768,23084,,768,2920
769,152700,,769,23071,,769,3887
770,149900,,770,23072,,770,3711
771,150700,,771,23063,,771,3495
772,152800,,772,23069,,772,3604
773,151150,,773,23013,,773,3291
774,151500,,774,23075,,774,3390
775,152050,,775,23056,,775,3322
776,153100,,776,23104,,776,3633
777,152550,,777,23054,,777,3443
778,152550,,778,23079,,778,3708
779,149700,,779,23054,,779,3867
780,151500,,780,23047,,780,4479
781,152550,,781,23102,,781,2933
782,151350,,782,23088,,782,3325
783,154450,,783,23088,,783,4018
784,151300,,784,23109,,784,3372
785,153800,,785,23128,,785,3532
786,151200,,786,23120,,786,3660
787,154050,,787,23113,,787,3354
788,153950,,788,23132,,788,3095
789,153500,,789,23173,,789,3548
790,153650,,790,23069,,790,3880
791,153300,,791,23146,,791,3352
792,155200,,792,23157,,792,3799
793,150850,,793,23176,,793,2947
794,153250,,794,23167,,794,3246
795,153050,,795,23187,,795,3503
796,153250,,796,23214,,796,3336
797,154000,,797,23239,,797,3788
798,154150,,798,23247,,798,3525
799,153950,,799,23209,,799,3890
800,154100,,800,23248,,800,3685
801,153000,,801,23222,,801,4040
802,152750,,802,23286,,802,3654
803,154450,,803,23235,,803,3532
804,152500,,804,23238,,804,4017
805,154750,,805,23227,,805,3133
806,151450,,806,23278,,806,3605
807,153550,,807,23251,,807,3775
808,152500,,808,23270,,808,3311
809,154000,,809,23388,,809,3810
810,152750,,810,23252,,810,3768
811,156150,,811,23297,,811,3114
812,155300,,812,23222,,812,3562
