,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
1004,145220,,1004,158803
1005,146043,,1005,159061
1006,146565,,1006,157712
1007,146644,,1007,158464
1008,146193,,1008,158960
1009,146267,,1009,157386
1010,146905,,1010,158088
1011,145976,,1011,158555
1012,146701,,1012,159610
1013,146060,,1013,158366
1014,144841,,1014,158371
1015,145582,,1015,158913
1016,144808,,1016,159091
1017,145685,,1017,159061
1018,144966,,1018,158270
1019,144533,,1019,157753
1020,143973,,1020,158777
1021,143808,,1021,158467
1022,143591,,1022,157360
1023,143228,,1023,158810
1024,141850,,1024,159279
1025,141798,,1025,158811
1026,141071,,1026,158214
1027,141034,,1027,158396
1028,141396,,1028,157956
1029,140806,,1029,158544
1030,141806,,1030,158615
1031,140820,,1031,158935
1032,140699,,1032,158573
1033,141764,,1033,158230
1034,141620,,1034,159409
1035,141845,,1035,159474
1036,141967,,1036,158350
1037,143493,,1037,158776
1038,143696,,1038,158687
1039,144255,,1039,158093
1040,143728,,1040,159077
1041,145280,,1041,158337
1042,144480,,1042,159326
1043,145248,,1043,158472
1044,145446,,1044,158669
1045,144930,,1045,159299
1046,145810,,1046,159091
1047,147076,,1047,158561
1048,146185,,1048,159727
1049,147158,,1049,159710
1050,147247,,1050,158992
1051,145871,,1051,158796
1052,146666,,1052,158794
1053,145764,,1053,159742
1054,144786,,1054,159256
1055,145059,,1055,158988
1056,145441,,1056,158780
1057,144049,,1057,159541
1058,144507,,1058,159039
1059,145038,,1059,160116
1060,142968,,1060,158664
1061,141663,,1061,158782
1062,142076,,1062,158844
1063,141759,,1063,159664
1064,141678,,1064,159371
1065,141529,,1065,158506
1066,141128,,1066,159336
1067,140952,,1067,158884
1068,141797,,1068,158343
1069,141224,,1069,159653
1070,142101,,1070,159575
1071,142005,,1071,159052
1072,141123,,1072,158839
1073,142597,,1073,159398
1074,143454,,1074,159818
1075,142857,,1075,158752
1076,143436,,1076,158792
1077,143317,,1077,160196
1078,142933,,1078,159951
1079,144498,,1079,158970
1080,145711,,1080,159503
1081,145976,,1081,159454
1082,145779,,1082,159097
1083,145462,,1083,157865
1084,146643,,1084,158446
